"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 17 18:41:11 GMT 2024","Sat Aug 17 18:41:11 GMT 2024","1","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Documents Test",""
"passed","Sat Aug 17 18:41:12 GMT 2024","Sat Aug 17 18:41:12 GMT 2024","707","tests.scripts.login","test_valid_login","TestSuccessLogin","","","Successful Login with Correct Credentials",""
"broken","Sat Aug 17 18:41:12 GMT 2024","Sat Aug 17 18:41:12 GMT 2024","1","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Data Test",""
"passed","Sat Aug 17 18:41:08 GMT 2024","Sat Aug 17 18:41:08 GMT 2024","622","tests.scripts.disappearing","test_dissapearing_element","TestDismissedElement","","","Validate the additional element after click on the Add button",""
"broken","Sat Aug 17 18:41:12 GMT 2024","Sat Aug 17 18:41:12 GMT 2024","0","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Data Test",""
"broken","Sat Aug 17 18:41:13 GMT 2024","Sat Aug 17 18:41:13 GMT 2024","0","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Video Test",""
"passed","Sat Aug 17 18:41:09 GMT 2024","Sat Aug 17 18:41:09 GMT 2024","121","tests.scripts.login","test_valid_login","TestSuccessLogin","","","User password is masked by dot",""
"broken","Sat Aug 17 18:41:11 GMT 2024","Sat Aug 17 18:41:11 GMT 2024","1","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Documents Test",""
"passed","Sat Aug 17 18:41:09 GMT 2024","Sat Aug 17 18:41:11 GMT 2024","2032","tests.scripts.disappearing","test_dissapearing_element","TestDismissedElement","","","Validate multiple interactions element",""
"passed","Sat Aug 17 18:41:09 GMT 2024","Sat Aug 17 18:41:09 GMT 2024","641","tests.scripts.login","test_invalid_login","TestFailedLogin","","","Unsuccessful Login with Invalid Username",""
"broken","Sat Aug 17 18:41:12 GMT 2024","Sat Aug 17 18:41:12 GMT 2024","0","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Video Test",""
"passed","Sat Aug 17 18:41:10 GMT 2024","Sat Aug 17 18:41:10 GMT 2024","384","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Uploader Page contains the correct components",""
"passed","Sat Aug 17 18:41:10 GMT 2024","Sat Aug 17 18:41:10 GMT 2024","363","tests.scripts.login","test_invalid_login","TestFailedLogin","","","Unsuccessful Login with Invalid Password",""
"passed","Sat Aug 17 18:41:10 GMT 2024","Sat Aug 17 18:41:10 GMT 2024","180","tests.scripts.upload","test_invalid_file_upload","TestFailUploadBySelect","","","No File Upload Error Validation",""
"passed","Sat Aug 17 18:41:07 GMT 2024","Sat Aug 17 18:41:08 GMT 2024","1017","tests.scripts.disappearing","test_dissapearing_element","TestDismissedElement","","","Dismissed Initial Page Validation",""
"broken","Sat Aug 17 18:41:11 GMT 2024","Sat Aug 17 18:41:11 GMT 2024","1","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","Successful File Upload Validation",""
"broken","Sat Aug 17 18:41:11 GMT 2024","Sat Aug 17 18:41:11 GMT 2024","1","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Images Test",""
"broken","Sat Aug 17 18:41:11 GMT 2024","Sat Aug 17 18:41:11 GMT 2024","0","tests.scripts.upload","test_successful_file_upload","TestSuccessUploadBySelect","","","File Upload Images Test",""
"passed","Sat Aug 17 18:41:10 GMT 2024","Sat Aug 17 18:41:10 GMT 2024","184","tests.scripts.login","test_valid_login","TestSuccessLogin","","","Username input is not masked by dot",""
"passed","Sat Aug 17 18:41:08 GMT 2024","Sat Aug 17 18:41:08 GMT 2024","273","tests.scripts.disappearing","test_dissapearing_element","TestDismissedElement","","","Validate the additional element after click on the Add button",""
"passed","Sat Aug 17 18:41:09 GMT 2024","Sat Aug 17 18:41:10 GMT 2024","266","tests.scripts.login","test_invalid_login","TestFailedLogin","","","Unsuccessful Login with Empty Field",""
"passed","Sat Aug 17 18:41:08 GMT 2024","Sat Aug 17 18:41:09 GMT 2024","538","tests.scripts.login","test_invalid_login","TestFailedLogin","","","Unsuccessful Login with Invalid Credentials",""
